target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
1	XM_003216102.3	35.5086631124128	2.53918753116104e-09	5.84013132167039e-06	35.9429531408328	11.9774451464925	0.00353923378508945	2.42399991813029	11.9809843802776	11.9774451464925	0.717438966743487	11.9774451464925	1
2	XM_003214742.3	32.5873695390426	1.13952882221146e-08	7.08715137675183e-06	29.3661527699675	9.78271528626025	0.00600230372890769	2.01638012000225	9.78871758998915	9.78271528626025	1.41740693077657	9.78271528626025	1
3	XM_003215130.3	32.6461898032618	1.10555930002073e-08	7.08715137675183e-06	41.3622431383417	13.7790835418525	0.00833083759474766	2.52252705427564	13.7874143794472	13.7790835418525	0.554295106253837	13.7790835418525	1
4	XM_008102699.2	32.4105900701935	1.24804480203899e-08	7.08715137675183e-06	24.5321088909143	8.17212880860354	0.00524082170122086	1.78334776648287	8.17736963030476	8.17212880860354	1.81177318367307	8.17212880860354	1
5	XM_008117626.2	32.0013117541396	1.54068508190257e-08	7.08715137675183e-06	26.1201521150519	8.70053611140157	0.00618126028240557	1.86224672816782	8.70671737168397	8.70053611140157	1.67650146973566	8.70053611140157	1
6	XM_008103950.2	31.5068582108293	1.98737089444615e-08	7.6182550953769e-06	47.0212941341033	15.6611731229719	0.0125915883959186	2.73594537090658	15.6737647113678	15.6611731229719	0.293939034430631	15.6611731229719	1
7	XM_008112782.2	28.9241606328295	7.52681930664634e-08	2.4730977721838e-05	21.0416639335764	7.00314118575444	0.0107467921043652	1.6004124945726	7.0138879778588	7.00314118575444	2.10063578466575	7.00314118575444	1
8	XM_008120402.1	28.1353891543985	1.13118406607763e-07	3.01883751730347e-05	19.7632150132163	6.57544425481038	0.0122940829283819	1.52964470202917	6.58773833773876	6.57544425481038	2.19156756396807	6.57544425481038	1
9	XM_016992164.1	28.0515178321628	1.18128424590136e-07	3.01883751730347e-05	1.86556359049158	0.62066943066895	0.00118509949490896	6.99727858951861	0.621854530163859	0.62066943066895	0.0384794521687127	0.62066943066895	1
10	XM_008117349.2	27.1264919967488	1.90568456423322e-07	4.38307449773641e-05	19.6456970920666	6.53283870761816	0.0157269897373725	3.25792660758269	6.54856569735554	6.53283870761816	0.0863799894044472	6.53283870761816	1
11	XM_003214672.2	26.3834834382381	2.79923916356428e-07	5.45061280515852e-05	16.9647140956055	5.63855175888585	0.016352939649305	1.36626499865561	5.65490469853515	5.63855175888585	2.32993792087495	5.63855175888585	1
12	XM_003214746.2	26.2701476831702	2.96841769641345e-07	5.45061280515852e-05	0.579775944509747	0.192683718456459	0.000574929713456332	7.54240480695689	0.193258648169916	0.192683718456459	0.0547376688622435	0.192683718456459	1
13	XM_008120013.2	26.1983972955065	3.08078115074177e-07	5.45061280515852e-05	29.6533585364392	9.85451513043716	0.0299377150425817	2.02959769072525	9.88445284547975	9.85451513043716	1.3961767205666	9.85451513043716	1
14	XM_016993370.1	26.0290469202789	3.36319069852921e-07	5.52524186186942e-05	37.0706286381856	12.3178315481905	0.0390446645379986	2.35113551977299	12.3568762127285	12.3178315481905	0.850175485883326	12.3178315481905	1
15	XM_003215683.3	25.7504027146948	3.88545932792639e-07	5.95770430282047e-05	3.21180121307804	1.06697351912786	0.00362688523149011	8.23224460661799	1.07060040435935	1.06697351912786	0.0952925709864489	1.06697351912786	1
16	XM_008105041.2	25.0748391818132	5.51477593033883e-07	7.67296018067374e-05	1.39748958375309	0.463961408528247	0.00186845272278438	6.29743753092452	0.465829861251031	0.463961408528247	0.0282559128261654	0.463961408528247	1
17	XM_008125645.2	25.0208675789139	5.67131839441103e-07	7.67296018067374e-05	23.0092274138891	7.63856108190526	0.0311813893910931	1.70524954506162	7.66974247129635	7.63856108190526	1.94168163121407	7.63856108190526	1
18	XM_003214362.3	24.6672340149813	6.81327374147895e-07	8.30996521988363e-05	8.40872568154768	2.79046000709732	0.0124485534185753	5.42818857750656	2.8029085605159	2.79046000709732	0.0249395092854294	2.79046000709732	1
19	XM_016992978.1	24.6527272123692	6.86475387729517e-07	8.30996521988363e-05	0.0789084623030487	0.0260617192439895	0.000241101523693363	8.19531247935103	0.0263028207676828	0.0260617192439895	0.092278872483817	0.092278872483817	1
20	XM_003214767.3	24.3805125146052	7.90644548146043e-07	9.0924123036795e-05	0.0627432309141573	0.0206441205982428	0.000270289706476301	8.31737972930491	0.0209144103047192	0.0206441205982428	0.102711344735223	0.102711344735223	1
21	XM_008119961.2	24.2861312890061	8.30347708442219e-07	9.09428442579573e-05	29.9806611471231	9.94473260999696	0.0488211057107473	2.04458277083789	9.99355371570771	9.94473260999696	1.37237371289208	9.94473260999696	1
22	XM_003214983.3	23.8168892999793	1.0594873517176e-06	0.000105948735171761	10.5043565638616	3.48221758782476	0.0192346001291008	4.82210127066118	3.50145218795386	3.48221758782476	0.0262575858119686	3.48221758782476	1
23	XM_008117620.2	23.831386627996	1.05153776333378e-06	0.000105948735171761	7.11417895320494	2.35841329007284	0.0129796943288069	3.38128590769426	2.37139298440165	2.35841329007284	0.072927933739784	2.35841329007284	1
24	XM_003215815.2	23.6265303130705	1.16963753709409e-06	0.000112090263971517	3.65198013441999	1.2103136107269	0.00701310074643457	5.27952685049172	1.21732671147333	1.2103136107269	0.0251370000350904	1.2103136107269	1
25	XM_003215203.3	23.4430114411686	1.28669291432784e-06	0.000118375748118161	0.663204348253784	0.219734734831918	0.00133338125267695	6.6816486101645	0.221068116084595	0.219734734831918	0.0327577915728899	0.219734734831918	1
26	XM_016996521.1	22.5219929102297	2.07751398103462e-06	0.000183780082937678	26.1229591369193	8.64153383392588	0.066119211713881	2.70589964468858	8.70765304563976	8.64153383392588	0.322480508664727	8.64153383392588	1
27	XM_003215250.3	22.1497122372057	2.52193767900844e-06	0.00021483172821183	0.253967988063775	0.0839504844597465	0.000705511561511735	7.27262067073924	0.0846559960212582	0.0839504844597465	0.0454762358411423	0.0839504844597465	1
28	XM_003214906.3	21.7337646736756	3.13229442157842e-06	0.000257295613201085	0.685782487551985	0.226480320724494	0.00211384179283479	6.3184999576752	0.228594162517329	0.226480320724494	0.0284450369320302	0.226480320724494	1
29	XM_008113539.2	21.2723094243608	3.98445856957543e-06	0.000316008783104259	0.121746405167544	0.040092533105572	0.000489601950275975	7.66184787248143	0.0405821350558478	0.040092533105572	0.0597896705342011	0.0597896705342011	1
30	XM_003215131.3	21.2069004544058	4.12277502561576e-06	0.000316079418630542	23.1423737864211	7.63274836862476	0.0813762268489287	4.20619732183666	7.71412459547369	7.63274836862476	0.0335468699010608	7.63274836862476	1
31	XM_003215694.3	21.0604905365357	4.45009760828902e-06	0.000323098196348367	0.125528293359157	0.0413545339298749	0.000488230523177479	7.43279687727479	0.0418427644530524	0.0413545339298749	0.050643538747785	0.050643538747785	1
32	XM_008114560.2	21.0411347676238	4.4952792535425e-06	0.000323098196348367	0.515811989786547	0.170046820451211	0.00189050947763773	6.48700022957978	0.171937329928849	0.170046820451211	0.0301864423443428	0.170046820451211	1
33	XM_008106314.1	20.6676233648336	5.46320094063142e-06	0.00036271734978701	10.3795098288298	3.41807110279424	0.0417655068156857	0.917715152852642	3.45983660960993	3.41807110279424	2.32838976860676	3.41807110279424	1
34	XM_008109771.1	20.6479547003065	5.51961184458494e-06	0.00036271734978701	10.2998576550706	3.3916365921567	0.0416492928668295	0.911522384729947	3.43328588502353	3.3916365921567	2.32336653194465	3.3916365921567	1
35	XM_008120516.2	20.7266464883994	5.29736876909884e-06	0.00036271734978701	23.738273050024	7.81863773542937	0.0941199479119494	1.74294975152342	7.91275768334132	7.81863773542937	1.87978157108665	7.81863773542937	1
36	XM_003215383.3	20.3562187267444	6.42838336786894e-06	0.00041070227072496	0.000413233144427339	-0.000260731030821415	0.000398475412297195	7.75374502542194	0.00013774438147578	0	0.0641453597138018	0.0641453597138018	1
37	XM_003215423.3	20.0312310863717	7.61876319242608e-06	0.000473598793042702	0.549188319718325	0.180471831681337	0.00259094155810423	6.08405303411052	0.183062773239441	0.180471831681337	0.0266650630976792	0.180471831681337	1
38	XM_008114924.2	19.9181201660099	8.08305726676454e-06	0.000476693120860473	23.0787767985475	7.58092251729814	0.112003082217681	1.70887159531106	7.69292559951582	7.58092251729814	1.93581721966094	7.58092251729814	1
39	XM_008118858.2	19.9568574430504	7.92093571111956e-06	0.000476693120860473	0.399745009619067	0.131327040039919	0.00192129649976968	6.22936565607694	0.133248336539689	0.131327040039919	0.0276854099064733	0.131327040039919	1
40	XM_008121884.1	19.8691946854675	8.29258765872865e-06	0.000476823790376897	0.54442616057177	0.178800729280299	0.002674657576958	5.9419324123893	0.181475386857257	0.178800729280299	0.0259089940479473	0.178800729280299	1
41	XM_003215459.3	19.6731454511037	9.18835821694553e-06	0.000503171997594636	0.124152925653997	0.0407011822651144	0.000683126286218092	7.41134798611871	0.0413843085513325	0.0407011822651144	0.0498979542239207	0.0498979542239207	1
42	XM_016992519.1	19.693850855505	9.08933717852739e-06	0.000503171997594636	0.555803994456814	0.182415084798372	0.00285291335389954	6.10118493006074	0.185267998152272	0.182415084798372	0.0267719507843913	0.182415084798372	1
43	XM_008116846.2	19.6163716336236	9.46546418437932e-06	0.000506292270327266	10.8726624413191	3.56732045264343	0.056900361129588	0.955538844834146	3.62422081377302	3.56732045264343	2.35605005150287	3.56732045264343	1
44	XM_008118079.2	19.4746794530529	1.01942101377088e-05	0.000532879166289324	0.294102405502108	0.0964394985681577	0.00159463659921169	6.23799552479414	0.0980341351673693	0.0964394985681577	0.0277543564740268	0.0964394985681577	1
45	XM_003215687.3	19.3373380042775	1.09543213324494e-05	0.000536062533290079	2.78439266849905	0.912506419633379	0.0156244698663057	4.32791019651041	0.928130889499684	0.912506419633379	0.0320140378986448	0.912506419633379	1
46	XM_008112527.1	19.4179300444114	1.05016481917804e-05	0.000536062533290079	9.72229284957802	3.18729635721207	0.0534679259806067	0.865882393372026	3.24076428319267	3.18729635721207	2.2822870229242	3.18729635721207	1
47	XM_008114668.1	19.3742136515507	1.07448146184604e-05	0.000536062533290079	1.89603983212953	0.621471385841403	0.0105418915351073	7.67613068459239	0.63201327737651	0.621471385841403	0.0604386216821107	0.621471385841403	1
48	XM_003215432.2	19.1203217709636	1.2273110658551e-05	0.000575789427444413	0.206771387392556	0.067698820053725	0.00122497574379383	6.67846819196782	0.068923795797519	0.067698820053725	0.0327104581407939	0.067698820053725	1
49	XM_003216032.3	19.0827430290136	1.25171614661829e-05	0.000575789427444413	8.3502490818961	2.73348004023577	0.0499363203962593	4.04467225446473	2.78341636063203	2.73348004023577	0.0361644539622051	2.73348004023577	1
50	XM_016996695.1	19.1079645880727	1.23528310526527e-05	0.000575789427444413	1.45015103159403	0.474765965768371	0.00861771142964033	5.00282770219579	0.483383677198011	0.474765965768371	0.0256854330519591	0.474765965768371	1
51	XM_003216016.3	19.039118079029	1.2806598475844e-05	0.000577552480283161	3.90744022739317	1.27885648183364	0.0236235939640831	3.7597511154073	1.30248007579772	1.27885648183364	0.0464644174251132	1.27885648183364	1
52	XM_003215425.3	18.9889305793579	1.31479001104541e-05	0.0005815417356547	1.1474136658057	0.375446604410737	0.00702461752449625	4.85345526477203	0.382471221935233	0.375446604410737	0.0261195546340596	0.375446604410737	1
53	XM_016990818.1	18.9520357363486	1.34046175176954e-05	0.00058170981680565	0.535700975520474	0.175256969624154	0.00331002221600391	5.85360185876015	0.178566991840158	0.175256969624154	0.0255516318136365	0.175256969624154	1
54	XM_003215962.3	18.8657778577376	1.40246239421619e-05	0.00059734509383282	2.97521656206195	0.972954667822339	0.0187841861983106	4.41961435238164	0.991738854020649	0.972954667822339	0.0307955452217741	0.972954667822339	1
55	XM_008125642.2	18.4909217142619	1.70715528455367e-05	0.000713901300813351	19.6880456995212	6.42616830630301	0.136513593537396	1.52541348457416	6.5626818998404	6.42616830630301	2.19646608325201	6.42616830630301	1
56	XM_016991223.1	18.4007575023428	1.78986812848236e-05	0.000735124409912397	0.170555538792441	0.055642283043045	0.00120956322110203	6.71903384571884	0.0568518462641472	0.055642283043045	0.0333283432714163	0.055642283043045	1
57	XM_003214769.3	18.2681162645622	1.91892212002636e-05	0.000774301908080812	14.6098305813222	4.76283864577029	0.107104881337104	1.21799322384015	4.86994352710739	4.76283864577029	2.39848666167278	4.76283864577029	1
